wound,inference_time,transfer_file_size,donor_file_size,frontend_K_time,frontend_execution_time,frontend_save_time,backend_load_time,backend_execution_time,backend_result_time,frontend_time,backend_time,final_result_load_time,surgery_time
"[82, 90]",0.17364096641540527,1004276,25,0.004469871520996094,0.5871627330780029,0.002096891403198242,0.01493978500366211,0.28533387184143066,0.0017290115356445312,0.5892596244812012,0.3020026683807373,0.00011610984802246094,0.8913784027099609
"[83, 88]",0.17168188095092773,1004278,25,0.004640102386474609,0.5808367729187012,0.003172159194946289,0.017837047576904297,0.29570603370666504,0.0005049705505371094,0.5840089321136475,0.31404805183410645,0.0001251697540283203,0.8981821537017822
"[83, 90]",0.16984105110168457,1004276,25,0.004864931106567383,0.5610260963439941,0.0036437511444091797,0.016906023025512695,0.2832939624786377,0.0015878677368164062,0.5646698474884033,0.3017878532409668,0.00010204315185546875,0.8665597438812256
"[84, 88]",0.16341805458068848,1004280,25,0.004658937454223633,0.5380191802978516,0.005719661712646484,0.017344951629638672,0.28875112533569336,0.0004999637603759766,0.543738842010498,0.306596040725708,0.00011110305786132812,0.8504459857940674
"[84, 90]",0.16804981231689453,1004278,25,0.005691051483154297,0.5715360641479492,0.002286672592163086,0.015569925308227539,0.2907979488372803,0.0005130767822265625,0.5738227367401123,0.3068809509277344,0.0001049041748046875,0.8808085918426514
"[85, 88]",0.16495013236999512,1004278,25,0.004419088363647461,0.5354752540588379,0.0021169185638427734,0.01758289337158203,0.28319787979125977,0.0016210079193115234,0.5375921726226807,0.3024017810821533,0.00010991096496582031,0.8401038646697998
"[85, 90]",0.16664385795593262,1004276,25,0.0044248104095458984,0.5728843212127686,0.0026230812072753906,0.01857590675354004,0.32439589500427246,0.00049591064453125,0.575507402420044,0.34346771240234375,0.00011515617370605469,0.9190902709960938
"[86, 88]",0.1660921573638916,1004278,25,0.004494905471801758,0.5856971740722656,0.002496004104614258,0.017578840255737305,0.28400683403015137,0.0016162395477294922,0.5881931781768799,0.30320191383361816,0.0001380443572998047,0.8915331363677979
"[86, 90]",0.18322300910949707,1004276,25,0.004857063293457031,0.6170768737792969,0.0020380020141601562,0.014935016632080078,0.28430795669555664,0.0016069412231445312,0.619114875793457,0.30084991455078125,0.0001010894775390625,0.9200658798217773
"[87, 88]",0.17528915405273438,1606392,25,0.004498958587646484,0.6041281223297119,0.002481222152709961,0.02225518226623535,0.28960585594177246,0.0015878677368164062,0.6066093444824219,0.3134489059448242,0.0001087188720703125,0.9201669692993164
"[87, 90]",0.1678919792175293,1606390,25,0.0045719146728515625,0.6179487705230713,0.002607107162475586,0.022321224212646484,0.28740501403808594,0.0015859603881835938,0.6205558776855469,0.311312198638916,0.00013375282287597656,0.9320018291473389
"[89, 88]",0.16646790504455566,1606390,25,0.0043599605560302734,0.5889060497283936,0.0025022029876708984,0.022256135940551758,0.2872607707977295,0.001592874526977539,0.5914082527160645,0.3111097812652588,0.00010633468627929688,0.9026243686676025
"[89, 90]",0.16887402534484863,1606388,25,0.004462003707885742,0.6029140949249268,0.0027163028717041016,0.022252798080444336,0.2922790050506592,0.0016357898712158203,0.6056303977966309,0.31616759300231934,0.00010800361633300781,0.9219059944152832
[91],0.17284774780273438,803304,25,0.0033299922943115234,0.5975818634033203,0.0018320083618164062,0.01238393783569336,0.2809562683105469,0.0015799999237060547,0.5994138717651367,0.2949202060699463,9.679794311523438e-05,0.8944308757781982
[92],0.1770949363708496,803320,25,0.002710103988647461,0.6052401065826416,0.001911163330078125,0.011494159698486328,0.2868947982788086,0.0005018711090087891,0.6071512699127197,0.2988908290863037,9.393692016601562e-05,0.9061360359191895
[101],0.16941094398498535,803304,25,0.002707958221435547,0.6499342918395996,0.002701997756958008,0.010724067687988281,0.2696080207824707,0.0016148090362548828,0.6526362895965576,0.28194689750671387,0.00013017654418945312,0.9347133636474609
[102],0.16491293907165527,803320,25,0.0027010440826416016,0.6281709671020508,0.0016489028930664062,0.010840177536010742,0.2724440097808838,0.0006890296936035156,0.6298198699951172,0.28397321701049805,0.00012230873107910156,0.9139153957366943
[111],0.16319799423217773,803304,25,0.002771139144897461,0.7005860805511475,0.002737283706665039,0.011584043502807617,0.2571239471435547,0.001584768295288086,0.7033233642578125,0.2702927589416504,0.00010323524475097656,0.9737193584442139
[112],0.17098593711853027,803320,25,0.0026900768280029297,0.7134802341461182,0.002599000930786133,0.010541677474975586,0.2600870132446289,0.0016069412231445312,0.7160792350769043,0.272235631942749,9.417533874511719e-05,0.9884090423583984
[121],0.17296695709228516,803306,25,0.0026807785034179688,0.7350819110870361,0.0034360885620117188,0.011291742324829102,0.2468249797821045,0.0004868507385253906,0.7385179996490479,0.258603572845459,9.918212890625e-05,0.9972207546234131
[122],0.16340184211730957,803320,25,0.0029871463775634766,0.7343578338623047,0.002680063247680664,0.010792970657348633,0.24498820304870605,0.0015821456909179688,0.7370378971099854,0.25736331939697266,0.00013899803161621094,0.9945402145385742
[131],0.16501617431640625,803306,25,0.003009796142578125,0.7794780731201172,0.0016429424285888672,0.01064610481262207,0.2407071590423584,0.0005421638488769531,0.781121015548706,0.2518954277038574,9.107589721679688e-05,1.0331075191497803
[132],0.15802407264709473,803320,25,0.0027358531951904297,0.7337980270385742,0.0031697750091552734,0.011097908020019531,0.24909687042236328,0.0016050338745117188,0.7369678020477295,0.26179981231689453,0.00010919570922851562,0.9988768100738525
[141],0.17229294776916504,803306,25,0.002712249755859375,0.8112037181854248,0.0016269683837890625,0.010333061218261719,0.22780299186706543,0.0005357265472412109,0.8128306865692139,0.23867177963256836,9.012222290039062e-05,1.0515925884246826
[142],0.16336369514465332,803320,25,0.002750873565673828,0.8315520286560059,0.002702951431274414,0.011346817016601562,0.24886608123779297,0.0005381107330322266,0.8342549800872803,0.26075100898742676,0.0001270771026611328,1.0951330661773682
"[143, 150]",0.17737889289855957,502520,25,0.005850076675415039,0.8175420761108398,0.0028409957885742188,0.009918928146362305,0.22182512283325195,0.0015969276428222656,0.8203830718994141,0.23334097862243652,0.00010085105895996094,1.0538249015808105
"[143, 152]",0.1663830280303955,502518,25,0.00437617301940918,0.8768019676208496,0.002051115036010742,0.011199951171875,0.21866321563720703,0.0015947818756103516,0.8788530826568604,0.23145794868469238,9.202957153320312e-05,1.110403060913086
"[144, 150]",0.17098379135131836,502518,25,0.005094766616821289,0.8581769466400146,0.0018908977508544922,0.010289907455444336,0.2233109474182129,0.0015878677368164062,0.8600678443908691,0.23518872261047363,9.226799011230469e-05,1.095348834991455
"[144, 152]",0.16703391075134277,502516,25,0.0043239593505859375,0.8583931922912598,0.002048015594482422,0.010374784469604492,0.22257518768310547,0.0005190372467041016,0.8604412078857422,0.23346900939941406,0.00010371208190917969,1.0940139293670654
"[145, 150]",0.1692049503326416,502518,25,0.004451274871826172,0.8688108921051025,0.0018520355224609375,0.009904861450195312,0.23012399673461914,0.0005197525024414062,0.8706629276275635,0.24054861068725586,0.00010704994201660156,1.111318588256836
"[145, 152]",0.17345118522644043,502516,25,0.004411935806274414,0.8743491172790527,0.0028808116912841797,0.009907007217407227,0.22707414627075195,0.0005819797515869141,0.8772299289703369,0.2375631332397461,0.0001442432403564453,1.1149373054504395
"[146, 150]",0.1702589988708496,502520,25,0.004356861114501953,0.838895320892334,0.0028879642486572266,0.009990930557250977,0.20854401588439941,0.000530242919921875,0.8417832851409912,0.21906518936157227,9.703636169433594e-05,1.0609455108642578
"[146, 152]",0.16639471054077148,502518,25,0.00638580322265625,0.8509731292724609,0.0030841827392578125,0.009888887405395508,0.215224027633667,0.0016140937805175781,0.8540573120117188,0.22672700881958008,9.322166442871094e-05,1.0808775424957275
"[147, 150]",0.16355371475219727,502518,25,0.00433802604675293,0.8318510055541992,0.0020711421966552734,0.010083675384521484,0.22793006896972656,0.0004799365997314453,0.8339221477508545,0.2384936809539795,0.00012302398681640625,1.0725388526916504
"[147, 152]",0.18901896476745605,502516,25,0.00481104850769043,0.886667013168335,0.002808094024658203,0.010151147842407227,0.21351408958435059,0.0005178451538085938,0.8894751071929932,0.2241830825805664,0.00010585784912109375,1.1137640476226807
"[148, 150]",0.16730213165283203,502518,25,0.004434347152709961,0.8873558044433594,0.002895832061767578,0.009896993637084961,0.21523785591125488,0.0005738735198974609,0.890251636505127,0.2257087230682373,0.00022482872009277344,1.116185188293457
