wound,inference_time,transfer_file_size,frontend_execution_time,frontend_save_time,frontend_time
"[(135, 1)]",1.7912611961364746,201200,5.541821002960205,0.04674839973449707,5.588569402694702
"[(136, 1)]",1.8234877586364746,201200,5.560640096664429,0.04538297653198242,5.606023073196411
"[(137, 1)]",2.8766181468963623,803314,6.039695739746094,0.08983016014099121,6.129525899887085
"[(138, 1)]",1.8306188583374023,803312,5.639007091522217,0.09303498268127441,5.732042074203491
"[(139, 1)]",1.819437026977539,803298,5.675580739974976,0.0938866138458252,5.769467353820801
"[(140, 1)]",1.82197904586792,803312,5.661825656890869,0.6065542697906494,6.2683799266815186
"[(141, 1)]",1.871687650680542,100850,5.606534004211426,0.04140305519104004,5.647937059402466
"[(142, 1)]",1.813948392868042,100848,5.677170276641846,0.03738546371459961,5.714555740356445
"[(143, 1)]",1.8237693309783936,100848,5.698361873626709,0.03962302207946777,5.737984895706177
"[(144, 1)]",1.8180346488952637,100850,5.761695861816406,0.06696128845214844,5.828657150268555
"[(145, 1)]",1.8022468090057373,100848,5.864133358001709,0.03830218315124512,5.902435541152954
"[(146, 1)]",1.831143856048584,100848,5.805358409881592,0.04248523712158203,5.847843647003174
"[(147, 1)]",1.8022243976593018,401906,5.848947286605835,0.05990338325500488,5.90885066986084
"[(148, 1)]",1.82173752784729,401904,5.668505668640137,0.06249666213989258,5.731002330780029
"[(149, 1)]",1.8185060024261475,401904,5.976566791534424,0.06394243240356445,6.040509223937988
"[(150, 1)]",1.837287187576294,401902,5.702011585235596,0.06627225875854492,5.768283843994141
"[(151, 1)]",1.8249919414520264,401890,6.137842893600464,0.22213459014892578,6.35997748374939
"[(152, 1)]",1.7999513149261475,401904,6.127894401550293,0.062222957611083984,6.190117359161377
"[(153, 1)]",1.8013246059417725,100850,6.07281494140625,0.03977704048156738,6.112591981887817
"[(154, 1)]",1.820432424545288,100848,6.1371941566467285,0.04190874099731445,6.179102897644043
"[(155, 1)]",1.8202741146087646,100848,6.1798412799835205,0.04273104667663574,6.222572326660156
"[(156, 1)]",1.8340284824371338,100850,6.228237628936768,0.037525177001953125,6.265762805938721
"[(157, 1)]",1.8290777206420898,100848,6.241947889328003,0.037909507751464844,6.279857397079468
"[(158, 1)]",1.8088130950927734,100848,6.232031345367432,0.04475593566894531,6.276787281036377
"[(159, 1)]",1.7913691997528076,401906,7.254824638366699,0.07857441902160645,7.333399057388306
"[(160, 1)]",2.291780948638916,401904,6.342679262161255,0.06313133239746094,6.405810594558716
"[(161, 1)]",1.8324596881866455,401890,6.352599382400513,0.06853938102722168,6.421138763427734
"[(162, 1)]",1.8330366611480713,401904,6.445963382720947,0.3410160541534424,6.78697943687439
"[(163, 1)]",1.8233485221862793,100850,6.431859493255615,0.04133319854736328,6.4731926918029785
"[(164, 1)]",1.8120439052581787,100848,6.524037599563599,0.04141497611999512,6.565452575683594
"[(165, 1)]",1.8140580654144287,100848,6.522081136703491,0.044962167739868164,6.567043304443359
"[(166, 1)]",1.8187973499298096,100850,7.399382829666138,0.053442955017089844,7.4528257846832275
"[(167, 1)]",2.459937334060669,100848,6.620920419692993,0.042238712310791016,6.663159132003784
"[(168, 1)]",1.8108108043670654,100848,6.557349681854248,0.04587149620056152,6.60322117805481
"[(169, 1)]",1.8078396320343018,401906,6.6474609375,0.058551788330078125,6.706012725830078
"[(170, 1)]",1.8290858268737793,401904,6.649291038513184,0.06076931953430176,6.710060358047485
"[(171, 1)]",1.818906307220459,401890,6.700450897216797,0.06249356269836426,6.762944459915161
"[(172, 1)]",1.8363375663757324,401904,6.700471639633179,0.5313358306884766,7.231807470321655
"[(173, 1)]",1.8674709796905518,8678,6.745891332626343,0.033837318420410156,6.779728651046753
"[(6, 1), (13, 1)]",1.8100683689117432,3872742,1.598717451095581,0.3343231678009033,1.9330406188964844
"[(6, 1), (15, 1)]",1.8072412014007568,3872722,1.6703712940216064,0.7106969356536865,2.381068229675293
"[(7, 1), (13, 1)]",1.8450961112976074,3872740,1.5882487297058105,0.7843549251556396,2.37260365486145
"[(7, 1), (15, 1)]",1.8606667518615723,3872720,1.6970303058624268,0.8042945861816406,2.5013248920440674
"[(8, 1), (13, 1)]",1.8689320087432861,3872744,1.596801996231079,0.7944719791412354,2.3912739753723145
"[(8, 1), (15, 1)]",1.8793492317199707,3872724,1.6773426532745361,0.44994211196899414,2.1272847652435303
"[(9, 1), (13, 1)]",1.8306543827056885,3872742,1.5552687644958496,0.4635031223297119,2.0187718868255615
"[(9, 1), (15, 1)]",1.8553166389465332,3872722,1.6544413566589355,0.3190028667449951,1.9734442234039307
"[(10, 1), (13, 1)]",1.8378071784973145,3872740,1.5516080856323242,0.2673518657684326,1.8189599514007568
"[(10, 1), (15, 1)]",1.799109697341919,3872720,1.7013046741485596,0.2577333450317383,1.9590380191802979
"[(11, 1), (13, 1)]",1.8048326969146729,6195944,1.5531337261199951,0.5431275367736816,2.0962612628936768
"[(11, 1), (15, 1)]",2.0612435340881348,6195924,2.965986728668213,0.966728925704956,3.932715654373169
"[(12, 1), (13, 1)]",1.8614180088043213,6195942,1.583329439163208,0.9963583946228027,2.5796878337860107
"[(12, 1), (15, 1)]",1.8218262195587158,6195922,1.6866998672485352,0.5468833446502686,2.2335832118988037
"[(14, 1), (13, 1)]",1.8817462921142578,6195940,1.6624259948730469,0.9177892208099365,2.5802152156829834
"[(14, 1), (15, 1)]",1.8552920818328857,6195920,1.6703782081604004,0.46570730209350586,2.1360855102539062
"[(38, 1), (45, 1)]",1.8000404834747314,2007782,2.6307218074798584,0.6765878200531006,3.307309627532959
"[(38, 1), (47, 1)]",1.836015224456787,2007766,2.712247848510742,0.19393682479858398,2.906184673309326
"[(39, 1), (45, 1)]",1.8102834224700928,2007782,2.600803852081299,0.6704812049865723,3.271285057067871
"[(39, 1), (47, 1)]",1.8428092002868652,2007766,2.7093210220336914,0.1878068447113037,2.897127866744995
"[(40, 1), (45, 1)]",1.8394551277160645,2007784,2.582937717437744,0.2745335102081299,2.857471227645874
"[(40, 1), (47, 1)]",1.690645456314087,2007768,2.698697566986084,0.19601106643676758,2.8947086334228516
"[(41, 1), (45, 1)]",1.818160057067871,2007782,2.6105663776397705,0.13961124420166016,2.7501776218414307
